date,S,vix,r,sentiment
2018-10-10,90.73451232910156,22.959999084472656,3.22,-0.054314
2018-10-11,88.01583862304688,24.979999542236328,3.14,0.281307
2018-10-12,87.05531311035156,21.309999465942383,3.15,-0.134079
2018-10-15,86.55879211425781,21.299999237060547,3.16,-0.192553
2018-10-16,88.41468811035156,17.6200008392334,3.16,0.301268
2018-10-17,89.39960479736328,17.399999618530273,3.19,
2018-10-18,87.98326873779297,20.059999465942383,3.17,0.336099
2018-10-19,87.83676147460938,19.889999389648438,3.2,0.1474925
2018-10-22,86.57508087158203,19.639999389648438,3.2,
2018-10-23,85.67155456542969,20.709999084472656,3.17,0.16307066666666667
2018-10-24,84.07616424560547,25.229999542236328,3.1,
2018-10-25,85.35411071777344,24.219999313354492,3.14,0.19709866666666664
2018-10-26,84.18196868896484,24.15999984741211,3.08,0.22081099999999998
2018-10-29,85.34596252441406,24.700000762939453,3.08,
2018-10-30,86.85184478759766,23.350000381469727,3.12,-0.038014
2018-10-31,88.74028015136719,21.229999542236328,3.15,
2018-11-01,88.70772552490234,19.34000015258789,3.14,0.173357
2018-11-02,88.21932220458984,19.510000228881836,3.22,0.44772
2018-11-05,88.7972412109375,19.959999084472656,3.2,0.06303675
2018-11-06,89.2123794555664,19.90999984741211,3.22,
2018-11-07,90.74267578125,16.360000610351562,3.22,
2018-11-08,91.47525787353516,16.719999313354492,3.24,-0.203588
2018-11-09,90.58800506591797,17.360000610351562,3.19,0.34204833333333334
2018-11-12,88.68330383300781,20.450000762939453,,0.1443325
2018-11-13,89.20423889160156,20.020000457763672,3.14,0.2730375
2018-11-14,87.3646469116211,21.25,3.12,
2018-11-15,89.59495544433594,19.979999542236328,3.11,0.2714525
2018-11-16,89.52982330322266,18.139999389648438,3.08,
2018-11-19,90.21358489990234,20.100000381469727,3.06,
2018-11-20,88.27631378173828,22.479999542236328,3.06,0.216549
2018-11-21,87.6169662475586,20.799999237060547,3.06,
2018-11-23,86.81114196777344,21.520000457763672,3.05,
2018-11-26,88.93563079833984,18.899999618530273,3.07,0.22269850000000002
2018-11-27,89.31006622314453,19.020000457763672,3.06,
2018-11-28,90.30310821533203,18.489999771118164,3.06,0.201001
2018-11-29,89.58679962158203,18.790000915527344,3.03,
2018-11-30,90.5066146850586,18.06999969482422,3.01,
2018-12-03,91.36128234863281,16.440000534057617,2.98,
2018-12-04,87.28324127197266,20.739999771118164,2.91,-0.386989
2018-12-06,85.62271881103516,21.190000534057617,2.87,-0.037568
2018-12-07,84.07616424560547,23.229999542236328,2.85,0.30192399999999997
2018-12-10,82.50517272949219,22.639999389648438,2.85,-0.178241
2018-12-11,81.69933319091797,21.760000228881836,2.89,-0.158622
2018-12-12,82.22842407226562,21.459999084472656,2.91,0.3261005
2018-12-13,82.309814453125,20.649999618530273,2.91,
2018-12-14,81.63422393798828,21.6299991607666,2.89,-0.099781
2018-12-17,80.5923080444336,24.520000457763672,2.86,
2018-12-18,80.20976257324219,25.579999923706055,2.82,0.154662
2018-12-19,79.1922607421875,25.579999923706055,2.77,
2018-12-20,78.50850677490234,28.3799991607666,2.79,0.328728
2018-12-21,76.65263366699219,30.110000610351562,2.79,0.1498205
2018-12-24,75.00027465820312,36.06999969482422,2.74,
2018-12-26,78.10966491699219,30.40999984741211,2.81,-0.24674000000000001
2018-12-27,78.98877716064453,29.959999084472656,2.77,
2018-12-28,78.81784057617188,28.34000015258789,2.72,-0.353393
2018-12-31,79.46088409423828,25.420000076293945,2.69,
2019-01-02,80.8365249633789,23.219999313354492,2.66,
2019-01-03,79.68769073486328,25.450000762939453,2.56,
2019-01-04,82.62539672851562,21.3799991607666,2.67,
2019-01-07,82.6828384399414,21.399999618530273,2.7,
2019-01-08,82.52692413330078,20.469999313354492,2.73,
2019-01-09,82.38744354248047,19.979999542236328,2.74,
2019-01-10,82.37922668457031,19.5,2.74,
2019-01-11,81.98534393310547,18.190000534057617,2.71,
2019-01-14,82.83055114746094,19.06999969482422,2.71,
2019-01-15,83.43777465820312,18.600000381469727,2.72,
2019-01-16,84.11067962646484,19.040000915527344,2.73,
2019-01-17,84.45531463623047,18.059999465942383,2.75,
2019-01-18,85.82568359375,17.799999237060547,2.79,
2019-01-22,84.47173309326172,20.799999237060547,2.74,
2019-01-23,84.25839233398438,19.520000457763672,2.76,
2019-01-24,84.30760955810547,18.889999389648438,2.72,
2019-01-25,84.84101867675781,17.420000076293945,2.76,
2019-01-28,85.24307250976562,18.8700008392334,2.75,
2019-01-29,85.4810562133789,19.1299991607666,2.72,
2019-01-30,85.67801666259766,17.65999984741211,2.7,
2019-01-31,84.9312515258789,16.56999969482422,2.63,
2019-02-01,85.24307250976562,16.139999389648438,2.7,
2019-02-04,85.54671478271484,15.729999542236328,2.73,
2019-02-05,85.16923522949219,15.569999694824219,2.71,
2019-02-06,85.12820434570312,15.380000114440918,2.7,
2019-02-07,84.01220703125,16.3700008392334,2.65,
2019-02-08,83.1751937866211,15.720000267028809,2.63,
2019-02-11,82.78132629394531,15.970000267028809,2.65,
2019-02-12,84.19274139404297,15.430000305175781,2.68,
2019-02-13,84.59478759765625,15.649999618530273,2.71,
2019-02-14,84.04503631591797,16.219999313354492,2.66,
2019-02-15,86.61348724365234,14.90999984741211,2.66,
2019-02-19,86.30985260009766,14.880000114440918,2.65,
2019-02-20,86.7283706665039,14.020000457763672,2.65,
2019-02-21,86.54781341552734,14.460000038146973,2.69,
2019-02-22,86.16215515136719,13.510000228881836,2.65,
2019-02-25,87.0647964477539,14.850000381469727,2.67,
2019-02-26,86.40010833740234,15.170000076293945,2.64,
2019-02-27,86.29346466064453,14.699999809265137,2.69,
2019-02-28,85.63697814941406,14.779999732971191,2.73,
2019-03-01,85.69441986083984,13.569999694824219,2.76,
2019-03-04,85.49746704101562,14.630000114440918,2.72,
2019-03-05,85.43183135986328,14.739999771118164,2.72,
2019-03-06,85.11180114746094,15.739999771118164,2.69,
2019-03-07,84.496337890625,16.59000015258789,2.64,
2019-03-08,84.52919006347656,16.049999237060547,2.62,
2019-03-11,85.62879180908203,14.329999923706055,2.64,
2019-03-12,85.37439727783203,13.770000457763672,2.61,
2019-03-13,85.66158294677734,13.40999984741211,2.61,
2019-03-14,86.44115447998047,13.5,2.63,
2019-03-15,87.43408966064453,12.880000114440918,2.59,
2019-03-18,87.9592514038086,13.100000381469727,2.6,
2019-03-19,87.63922882080078,13.5600004196167,2.61,
2019-03-20,85.76827239990234,13.90999984741211,2.54,
2019-03-21,84.41431427001953,13.630000114440918,2.54,
2019-03-22,81.86225891113281,16.479999542236328,2.44,
2019-03-25,81.18115234375,16.329999923706055,2.43,
2019-03-26,81.99354553222656,14.680000305175781,2.41,
2019-03-27,81.71455383300781,15.149999618530273,2.39,
2019-03-28,82.6418228149414,14.430000305175781,2.39,
2019-03-29,83.06852722167969,13.710000038146973,2.41,
2019-04-01,85.86676025390625,13.399999618530273,2.49,
2019-04-02,86.27703857421875,13.359999656677246,2.48,
2019-04-03,86.4493637084961,13.739999771118164,2.52,
2019-04-04,87.28449249267578,13.579999923706055,2.51,
2019-04-05,87.07777404785156,12.819999694824219,2.5,
2019-04-08,87.35892486572266,13.180000305175781,2.52,
2019-04-09,86.7139663696289,14.279999732971191,2.51,
2019-04-10,87.10260009765625,13.300000190734863,2.48,
2019-04-11,87.83851623535156,13.020000457763672,2.51,
2019-04-12,91.9563217163086,12.010000228881836,2.56,
2019-04-15,90.90618133544922,12.319999694824219,2.55,
2019-04-16,91.86536407470703,12.180000305175781,2.6,
2019-04-17,94.5113525390625,12.600000381469727,2.59,
2019-04-18,93.81678009033203,12.09000015258789,2.57,
2019-04-22,93.9325180053711,12.420000076293945,2.59,
2019-04-23,94.04830932617188,12.279999732971191,2.57,
2019-04-24,93.89122009277344,13.140000343322754,2.53,
2019-04-25,93.9407958984375,13.25,2.54,
2019-04-26,94.65193176269531,12.729999542236328,2.51,
2019-04-29,96.0162582397461,13.109999656677246,2.54,
2019-04-30,95.95836639404297,13.119999885559082,2.51,
2019-05-01,95.22247314453125,14.800000190734863,2.52,
2019-05-02,95.42919158935547,14.420000076293945,2.55,
2019-05-03,96.0162582397461,12.869999885559082,2.54,
2019-05-06,95.1645736694336,15.4399995803833,2.51,
2019-05-07,93.61003875732422,19.31999969482422,2.45,
2019-05-08,93.11394500732422,19.399999618530273,2.49,
2019-05-09,93.03951263427734,19.100000381469727,2.45,
2019-05-10,93.03125,16.040000915527344,2.47,
2019-05-13,90.50100708007812,20.549999237060547,2.4,
2019-05-14,91.22042083740234,18.059999465942383,2.42,
2019-05-15,90.87311553955078,16.440000534057617,2.37,
2019-05-16,92.03900909423828,15.289999961853027,2.4,
2019-05-17,91.59249114990234,15.960000038146973,2.39,
2019-05-20,92.07207489013672,16.309999465942383,2.41,
2019-05-21,92.38629150390625,14.949999809265137,2.43,
2019-05-22,91.63382720947266,14.75,2.39,
2019-05-23,89.83126068115234,16.920000076293945,2.31,
2019-05-24,90.71600341796875,15.850000381469727,2.32,
2019-05-28,89.73202514648438,17.5,2.26,
2019-05-29,89.48397827148438,17.899999618530273,2.25,
2019-05-30,88.52478790283203,17.299999237060547,2.22,
2019-05-31,87.61524963378906,18.709999084472656,2.14,
2019-06-03,88.02869415283203,18.860000610351562,2.07,
2019-06-04,90.74079132080078,16.969999313354492,2.12,
2019-06-05,91.06329345703125,16.09000015258789,2.12,
2019-06-06,91.26177215576172,15.930000305175781,2.12,
2019-06-07,90.26123046875,16.299999237060547,2.09,
2019-06-10,91.23693084716797,15.9399995803833,2.15,
2019-06-11,91.51807403564453,15.989999771118164,2.15,
2019-06-12,90.35220336914062,15.90999984741211,2.13,
2019-06-13,90.57544708251953,15.819999694824219,2.1,
2019-06-14,90.80696868896484,15.279999732971191,2.09,
2019-06-17,90.31085205078125,15.350000381469727,2.09,
2019-06-18,91.54288482666016,15.149999618530273,2.06,
2019-06-19,90.88137817382812,14.329999923706055,2.03,
2019-06-20,91.1129150390625,14.75,2.01,
2019-06-21,90.49273681640625,15.399999618530273,2.07,
2019-06-24,89.8478012084961,15.260000228881836,2.02,
2019-06-25,89.10362243652344,16.280000686645508,2.0,
2019-06-26,89.69896697998047,16.209999084472656,2.05,
2019-06-27,89.99661254882812,15.819999694824219,2.01,
2019-06-28,92.44417572021484,15.079999923706055,2.0,
2019-07-01,93.9986801147461,14.0600004196167,2.03,
2019-07-02,94.0979232788086,12.930000305175781,1.98,
2019-07-03,93.94802856445312,12.569999694824219,1.96,
2019-07-05,94.50594329833984,13.279999732971191,2.04,
2019-07-08,93.98966979980469,13.960000038146973,2.05,
2019-07-09,94.3893814086914,14.09000015258789,2.07,
2019-07-10,94.11457061767578,13.029999732971191,2.07,
2019-07-11,95.01392364501953,12.930000305175781,2.13,
2019-07-12,96.01318359375,12.390000343322754,2.12,
2019-07-15,94.84739685058594,12.680000305175781,2.09,
2019-07-16,95.86331176757812,12.859999656677246,2.13,
2019-07-17,94.92230987548828,13.970000267028809,2.06,
